//Affiliate Module Fontend
"My Affiliate Account", "Oficina Virtual"
"URL must contains: no spaces, letters, numbers and special characters as dot, dash and underscore", "La Oficina Virtual debe tener: no espacios, letras, numeros y caracteres especiales como punto, guion bajo o guion medio"

// Transaction detail send mail
"You checkout by credit order #%s", "Usted pago con credito orden #%s"
"You checkout by credit order #%s. Your order was cancelled", "Su pago por orden de credito #%s. Su orden fue cancelada"
"Commission from order #%s", "Comisión de orden #%s"
"Customer granted refund. Order #%s. Affiliate commission reversed.", "Cliente otorgo reembolso. Orden #%s.Comision de afiliado revertida."

// tab create account customer
"Referral Code", "Numero de colocación"
"Referral Sponsor", "Numero de Patrocinador"
"Affiliate Signup Information", "Afiliados información de inscripción"
"Sign up for our Affiliate Program", "Si desea ser <strong>Cliente Preferente</strong> de click aquí, si desea ser <strong>Distribuidor</strong> deje en blanco"
"Signup For Affiliate", "Si desea ser <strong>Cliente Preferente</strong> de click aquí, si desea ser <strong>Distribuidor</strong> deje en blanco"
"Payment Method", "Metodo de pago"
"Please select a payment method", "Porfavor seleccione un metodo de pago"
"Withdrawal Notification Email", "Email para notificacion de retiros"
"Bank Name", "Nombre del banco"
"Name on account", "Nombre en la cuenta"
"Bank Country", "Pais del banco"
"SWIFT code", "Condigo del banco (SWIFT code)"
"Account Number", "# de cuenta"
"Re Account Number", "Confirmar # de cuenta"
"Affiliate's Website(s)", "Sitio(s) web"
"Auto Withdrawal", "Auto retirar"
"Auto payment when account balance reaches (%s - %s)", "Auto pagar cuando el balance sea entre (%s - %s)"
"Reserve Level", "Nivel de reserva"
"The referral code is invalid.", "El codigo de referencia es invalido"
"There is already an account with this emails paypal", "Ya existe una cuenta de paypal con este email para paypal"
"Please insert a value of Auto payment when account balance reaches that is in range of [%s, %s]", "Porfavor indique un valor para autopago cuando el balance de su cuenta este en el rango de [%s, %s]"

// tab create acount in my affiliate
"Signup Affiliate Account Information", "Información de Inscripción"
"Signup Affiliate Account", "Inscribir cuenta de afiliado"
"You have registered in our Affiliate system. Please wait for the response of administrator.", "Su petición de afiliación ha sido registrada. Espere respuesta de hábitos saludables en horarios hábiles. Lun-Vie 10:00 am -4:30 pm PST"
"You have not successfully registered. For more details, Please contact with the administrator.", "Su registro no fue exitoso. Para mas detalle contáctenos usando la forma de contacto o háblenos por teléfono."

// Affiliate Account
"Affiliate Account was disabled, please contact us to solve this problem.", "La cuenta ha sido desactivada, por favor contáctenos para resolver el problema."
"Affiliate Account", "Cuenta de afiliado"
"Affiliate Account Information", "Información de mi cuenta de afiliado"
"Your Balance", "Su Balance"
"Current Balance", "Balance actual"
"Affiliate Name", "Nombre de afiliado"
"Save", "Guardar"
"Auto", "Automático"
"Manual", "Manual"
"You have successfully saved affiliate account", "Ha guardado exitosamente su cuenta"
"You have successfully updated affiliate account", "Actualizo correctamente su cuenta"
"Note: Affiliate may use balance as store credit in shopping cart.", "Nota: Afiliado puede usar su balance como credito en el carrito de compra"
"(to be kept in account)", "(a mantener en cuenta)"

// tab My Affiliate Transaction
"Hide", "Esconder"
"Show", "Mostrar"
"Affiliate History", "Historial de afiliado"
"Affiliate Transaction History", "historial de transacciones"
"No Affiliate Transaction History Found", "No se encontró historial de transacciones"
"My Commission History", "Mi historial de comisión"
"No Commission History Found", "No se encontro historial de comisión"
"Order Number", "Numero de orden"
"Total Discount", "Descuento total"
"Status", "Estado"
"Pending", "Pendiente"
"Holding", "En Espera"
"Complete", "Completo"
"Canceled", "Canceledo"
"Closed", "Cerrado"
"Product Name", "Producto"
"Program", "Programa"
"Total Amount", "Monto total"
"Commission", "Comisión"
"Customer Discount", "Descuento cliente"

// tab My Withdrawal
"My Withdrawal Request", "Mis peticiones de retiro"
"Please fulfil information at the <b><a href=%s> Affiliate Account</a></b> tab", "Favor de llenar la información en la <b><a href=%s> cuenta de afiliado</a></b> tab"
"Withdrawal Manager", "Administrador de retiros"
"Withdrawal Information", "Información de retiro"
"Withdrawal", "Retiro"
"Your Balance:", "Su Balance:"
"Payment Method:", "Metodo de pago:"
"Withdrawal Notification Email:", "Email para notificación de retiros:"
"Payment Processing Fee:", "Cuota por procesamiento de pago:"
"Payment Processing Fee", "Cuota por procesamiento de pago:"
"Reserve Level:", "Nivel de reserva:"
"Auto payment when account balance reaches:", "Auto pago cuando el balance alcance:"
"Withdrawal Amount:", "Monto de retiro:"
"Payments Processed:", "Pagos procesados:"
"Currency:", "Moneda:"
"Next", "Siguiente"
"Weekly, on %s", "Semanal, en %s"
"Monthly, Date %s", "Mensual, Fecha %s"
"Amount to Receive:", "Monto a recibir:"
"Submit", "Enviar"
"Withdrawal History", "Historial de retiro"
"No Withdrawal Transaction History Found", "No hay historial de retiros"
"Withdrawal Amount", "Monto de retiro"
"Processing Fee", "Cuota de procesamiento"
"Amount to Receive", "Cantidad a recibir"
"Currency", "Moneda"
"Your balance is not enough for withdrawing", "Su balance no es suficiente para retirar"
"Your requested amount does not match the condition", "El monto solicitado no coincide con la condición"
"You have requested to withdraw: %s", "Solicito retirar: %s"

// tab My Invitations
"Add from my address book", "Agregar de mi libro de direcciones"
"Thank you for visiting our site", "Gracias por visitar nuestro sitio"
"Invite Friends", "Invitar amigos"
"Invited Friend", "Amigo invitado"
"Invitation", "Invitación"
"Invitation History", "Historial de invitaciones"
"No Invitation Transaction History", "No hay historial de invitaciones "
"You must register in My Affiliate to use this function.", "Debe registrarse en el programa afiliado para usar esta función."
"Connect & Share", "Conectar & Compartir"
"With friends on Facebook, Twitter, or Google.", "Con amigos en Facebook, Twitter, or Google."
"Referral Link", "Link referido"
"Your referral code (manual): <b>%s</b>", "<h3>Su codigo de referido (manual): <b>%s</b></h3>"
"Copy + paste your personal link into your website, blog, email or IM.", "Copiar + pegar su link personal en su sitio, blog, email or IM."
"Invite Friends Via Email", "Invitar amigos por email"
"Send invitation emails to your friends and family", "Enviar invitación a familiares y amigos"
"Email of your friends", "Email a tus amigos"
"Separate with commas (,)", "separa con comas (,)"
"Message", "Mensaje"
"Send", "Enviar"
"Close", "Cerrado"
"* Required Fields", "* campos requeridos"
"Ip address", "Dirección IP"
"Email", "Email"
"Invitation Report", "Reporte de invitaciones"
"Total Clicks:", "Total Clicks:"
"Total Sign-Ups:", "Total suscripciones:"
"Total Purchases:", "Total compras:"
"Click on referral link", "Click en link referido"
"Register account", "Registrar cuenta"
"Purchase Product", "Comprar Producto"
"Non Referral", "No Referido"
"Referral Link", "Link referido"
"Email can not send !", "Email no se puede enviar!"
"These emails are invalid, the invitation message will not be sent to:<br>%s", "Estos emails son inválidos, la invitación no llegara a:<br>%s"
"Your email was sent success", "Email enviado exitosamente"
"Your Emails were sent successfully", "Sus emails fueron enviados exitosamente"
"Login failed. Please check the email and password you have provided and try again later !", "Inicio de sesión fallido. Por favor revise la captura de  su email y contraseña y vuelva a intentarlo."
"Unable to get contacts !", "No fue posible obtener contactos !"
"Contact Address", "Dirección de contacto"
"Mail Information", "Información de mail"
"Email Address", "Dirección Email"
"Password", "Contraseña"
"Email Provider", "Proveedor de email"
"Please select an email provider", "Favor de seleccionar un proveedor de email"
"You do not have any contacts in your address book.", "No tiene contactos en su libreta de direcciones "
"Name", "Nombre"
"Add Contact", "Agregar contacto"

// tab Affiliate banners
"Copy + paste this code into your website, blog, forum.", "Copie + pegue este código  en su sitio web, blog, foro, etc."

//tab My Programs
"List My Programs", "Lista de programas"
"List of joined programs", "Programas pertenecientes "
"List programs in (group: %s)", "Listado de programas (grupo: %s)"
"There is not any programs, designed for this group.", "No hay programas para este grupo"
"You have not joined any our affiliate programs yet. Please select programs to join.", "Aun no pertence a programas de afiliacion. Seleccione los programas a unirse."
"List of other programs", "Listado de otros programas"
"List of all programs", "Listado de todos los programas"
"Program: ", "Programa: "
"Total <br> Members </br>", "Total <br> Miembros </br>"
"Total <br> Commission</br>", "Total <br> Comisiones</br>"
"Program Name", "Nombre Programa"
"Start Date", "Fecha Inicio"
"End Date", "Fecha fin"
"Out Program", "Programa fuera"
"Product Name", "Nombre producto"
"Price", "Precio"
"Join", "Registrar"
"Affiliate Discount", "Descuento de afiliado"
"List of products", "Lista de productos"
"Program name: %s", "Programa: %s"
"Program description", "Descripcion programa"
"No program description", "N/A"
"Description", "Description"
"Commission Earned", "Comisión ganada"

//tab My Affiliate Websites
"Affiliate Website", "Sitios web afiliados"
"New website", "Nuevo sitio"
"My Affiliate Website", "Mi sitio afiliado"
"No Affiliate Website Found", "No se encontro sitio afiliado"
"Your domain:", "Su dominio:"
"Save", "Guardar"
"ID", "ID"
"Domain name", "Nombre Dominio"
"Verification Key", "Llave de verificación"
"Verification File", "Archivo de verificación"
"Status", "Estatus"
"Download", "Descarga"
"Not Verified", "No Verificado"
"Verify now", "Verificar ahora"
"Verified", "Verificado"
"Remove", "Quitar"
"* Note:", "* Nota:"
"In order to verify your website, please copy the verification key and insert to your website header OR download the verification file and upload to your host. Then click to "Verfiy now" to verify.", "Con el fin de verificar su sitio web, por favor copie la clave de verificación e introduzca a su cabecera sitio web o descargar el archivo de verificación y cargar a su hospedaje. Luego haga clic en "Comprobar ahora" para verificar."




"Enabled", "Activo"
"Enable", "Activo"
"This Week", "Esta Semana"
"Commissions (Residual)", "Reporte"
"Network", "Mi Red"
"Control Panel", "Panel de Control"
"My Sales", "Mis Ventas"
"Binary Residual", "Residual Binario"
"Constructor", "Bono Constructor"





